"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Belarus","BLR","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","809.650351262617","758.797798137245","715.633729531468","679.086653926733","584.816715759159","518.332778041097","547.815009715597","609.898144945477","693.812588303567","760.331592444262","822.958950648167","970.347698708516","1084.35702188694","1170.51264813041","1289.3154735789","1488.22641758414","1687.59735338166","1922.01275243548","2243.63823571176","2249.16696261096","2465.50418319513","2527.23207994575","2801.38455763416","3104.07512784667","3234.44907842789","3155.22073329226","3051.85213895671","3198.22546456655","3458.57766732016","3641.13207011666","3612.92938165521","3816.41393041651","3837.21056139273","4169.20268641034","4709.72639048336",
"Belize","BLZ","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","2261.25248566895","1745.81893096434","1930.84626921026","1740.02998330135","1447.86849087173","1328.75707720387","1201.97729894461","1399.07834659967","1605.50128923074","1756.17218517909","2032.91801511022","2165.75518851735","3439.03223314132","3475.33072917076","3572.44690530414","3591.73128516044","3525.09274395736","3514.46739319744","3642.26740307372","3766.85521644102","3930.899489497","4085.14910026312","4270.14053844779","4314.72379378323","4181.32630578353","4013.64209217629","3815.58672719311","3797.93881438388","3759.02366312093","3524.10076442156","3539.38243636976","3509.17364105723","3592.23124974862","3694.63367527829","3734.2909080436","3778.35634083849","3726.06890300663","3622.37503360763","3637.34985126142","3740.3669048291","3256.1694327454","3726.8065968068","4033.04056139549","3991.84608987582","4119.37422853709",
"Bermuda","BMU","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50537.2501274364","51016.7654103114","54529.0860434402","51342.1090260582","49180.7226476194","48161.8396900347","43401.8887949301","44721.2556873986","46317.9073116712","48627.1021452866","49423.603012604",
"Bolivia","BOL","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","978.763134186547","1028.71542932986","1009.32250214121","1043.98473914887","1030.58048943184","1081.63746817448","1138.81638619181","1181.65165156323","1189.80075170188","1239.36585652996","1291.39817458055","1307.75988075834","1291.38173610261","1367.08796272809","1378.88343477519","1403.41044491746","1478.90459396168","1519.75439823935","1443.5921627683","1423.17366186443","1417.25237582863","1391.8715910312","1307.24914590955","1220.76061130954","1194.70795942658","1216.23276426959","1250.18635695665","1262.14464103151","1246.67457018255","1242.34284948836","1257.56821963693","1272.56425120333","1291.19925758724","1307.92760456853","1320.48983255318","1333.96743415177","1352.27933471612","1400.1818474282","1447.94443418502","1462.1909780201","1470.40078865574","1464.15561131221","1469.31202228925","1472.12548879574","1489.68490366888","1513.55254143333","1548.54912299526","1585.76064305283","1644.70631721724","1676.95906031373","1715.22346154453","1775.42734549271","1827.72319452964","1905.82618562962","1978.3306201735","2049.8635782729","2088.16636346799","2155.22843792502","2190.91426512172","2201.06503782187","1927.81239598137","2057.039620696","2152.70495690943","2178.47027365858","2185.20289648163",
"Brazil","BRA","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","1505.15126015178","1595.31953454867","1647.05152032944","1588.06672601826","1595.24488178779","1566.78453986327","1589.15122482013","1683.67372186262","1833.62641530627","1713.18280450663","1978.18052399724","2180.88724580304","2373.92421655959","2529.17791683729","2765.74533928677","2558.20129819437","2934.88400430088","3195.01243160361","3178.91288807115","3431.10991592899","4272.80669526414","3841.96332998152","3848.63281368259","3689.05086073576","3704.2632064921","3725.25632244401","4078.48519957333","3802.85246647542","3486.07454357521","3377.06767483149","3480.00780994322","3588.12078244004","3509.52841720923","3529.80428535993","3633.29605839186","3990.73630671231","4057.98987132456","4119.37555901826","4029.3222921021","3986.08026822908","4090.18697185866","4068.3625845378","4071.16279943002","4001.42933702161","4111.70300245391","4246.72144988389","4424.07755488793","4658.76531008388","4912.63184948903","5085.8035177712","5357.37791439572","5570.00656200439","5718.32749452311","5869.05050229023","5952.92952891819","5716.01939274716","5454.96026886202","5522.4931411803","5614.64579747606","5722.92995716755","5430.17337366044","5567.04706394323","5776.97949785827","5940.57280007083","6218.40602290662",
"Barbados","BRB","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4032.82213287657","4107.46790080774","3926.10744200835","4675.53562311218","5339.28339580457","4800.41617318075","4460.79902288317","4850.17089824005","5350.7738351407","4717.39434842207","4482.18033196215","4079.35699131037","4162.59477598263","4108.88726322967","4668.39583607859","5148.36936789665","5033.62827850544","5139.06899547564","5154.21861498065","5148.74227193206","5305.03588315752","5298.91799187791","5486.94198236908","5871.56905207691","6140.30979852315","5833.76835564402","6059.36421759576","5904.6940134755","6109.18044003187","6170.37993576493","6471.99808196326","7782.75303298866","8136.25903133234","8743.45843377284","9634.25066882072","10064.2329685355",
"Bhutan","BTN","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","361.381842429018","418.040368203112","499.540992959866","407.630930155794","365.471933873925","394.44045107263","457.425161767883","468.294361986306","569.794784054891","530.831878208143","490.764955096475","456.30783307456","446.08892918142","531.345003907747","618.928166022941","686.60664434386","452.844366641946","747.865654917104","765.288587707777","771.558407863111","798.688224210565","841.211757450142","813.193089866908","1056.02698977883","1342.94219871278","1506.61980234034","1430.44777784657","1413.83334192795","1514.70525975467","1475.86830080175","1511.94281167401","1465.17156438236","1525.68984403698","1624.31707461712","",
"Botswana","BWA","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","763.312100348159","801.789449062624","827.4002284664","878.1326586232","930.088669345889","912.248369638156","864.934717075569","791.41172496246","712.607348022687","738.041148148614","835.77789992351","863.861305357909","837.727967108974","886.092974827841","1078.63953401876","1284.41441603714","1374.43678444055","1319.18119605322","1251.82065332963","1246.23848856839","1419.62161289352","1460.52799924092","1619.26217621817","1616.83233561462","1582.89420891262","1529.36489432223","1431.3615342089","1474.26867788627","1467.84828676917","1486.69922903722","1617.60021196286","1861.55791094741","1987.35880995685","2170.43734613163","2233.53562543508","2348.18000423445","2421.27279817189","2582.24960489982","2750.3391250186","2766.82063673071","2824.81608051776","2856.59506258127","2856.78605849791","2967.64374797772","3017.67988505214","3044.01464966204","3073.9318074303","3117.91405949829","3238.18146819339","3245.35645948703",
"Central African Republic","CAF","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","518.918136257212","507.081051620211","499.296417229015","537.025154079982","288.405493100422","296.824624281021","301.950945517928","322.920070290638","319.696677156768","470.670803000621","490.965314989506","462.480689439679","467.533486663464","494.139481411463","466.601391204032","460.274316263726",
